Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
250,Gonzales Unified School District,16.59,"$13,360","$58,056"
251,Byron Union Elementary School District,16.63,"$7,932","$110,290"
252,Simi Valley Unified School District,16.68,"$10,765","$95,265"
253,Glendale Unified School District,16.68,"$12,006","$65,188"
254,Ontario Montclair School District,16.81,"$13,829","$55,410"
255,Central Union Elementary School District,17,"$14,503","$51,694"
256,San Rafael Elementary District,17.03,"$12,069","$88,577"
257,Camino Union Elementary District,17.05,"$11,423","$68,032"
258,Alhambra Unified School District,17.05,"$13,482","$57,081"
259,Benicia Unified School District,17.12,"$10,132","$98,940"
260,Pacific Elementary School District,17.29,"$12,275","$63,333"
261,Santa Paula Unified School District,17.47,"$13,710","$55,574"
262,Little Shasta Elementary School District,17.55,"$21,188","$40,469"
263,Sanger Unified School District,17.57,"$11,545","$67,014"
264,Salinas Union High School District,17.7,"$12,363","$62,576"
265,Lakeside Union Elementary School District,17.71,"$10,159","$74,281"
266,Richmond Elementary School District,17.79,"$8,368","$83,750"
267,Indian Diggings Elementary School District,17.87,"$14,000","$53,750"
268,Alameda Unified School District,17.93,"$10,387","$98,150"
269,Buckeye Union School District,18,"$8,491","$108,283"
270,Flournoy Union Elementary School District,18.04,"$15,154","$47,500"
271,Los Angeles Unified School District,18.08,"$13,247","$57,607"
272,Kingsburg Joint Unified High School District,18.13,"$11,874","$64,869"
273,Oakland Unified School District,18.2,"$11,195","$68,428"
274,Orange Unified School District,18.41,"$11,434","$92,925"
275,Snelling-Merced Falls Union Elementary School District,18.42,"$14,110","$52,778"
276,Southern Kern Unified School District,18.43,"$13,442","$56,328"
277,Panama Buena Vista Union School District,18.48,"$11,008","$69,229"
278,Gazelle Union Elementary School District,18.56,"$21,269","$40,750"
279,Antelope Valley Union High School District,18.58,"$13,553","$55,630"
280,San Luis Coastal Unified School District,18.65,"$12,344","$62,008"
281,Beaumont Unified School District,18.75,"$10,693","$70,715"
282,Carpinteria Unified School District,18.76,"$14,403","$77,392"
283,Romoland Elementary School District,18.85,"$11,690","$65,342"
284,Ballico Cressey Elementary School District,19.01,"$12,079","$63,164"
285,Le Grand Union High School District,19.01,"$15,840","$43,167"
286,Eastside Union High School District,19.11,"$10,292","$99,492"
